Barri,Metres_Quadrats,Num_Habitacions,Num_Lavabos,Preu,Tipus_Immoble
Dreta de l´Eixample,140,3,2,1.716 €,Piso
Sant Gervasi - Bonanova,100,3,2,1.300 €,Piso
Sant Gervasi - Galvany,117,2,2,1.800 €,Piso
Sant Gervasi - Galvany,193,4,3,3.500 €,Piso
Guinardó,45,,1,690 €,Piso
Diagonal Mar - La Mar Bella,153,2,2,2.500 €,Piso
Poble Sec,44,2,1,900 €,Piso
Raval,74,2,1,1.350 €,Piso
Les Corts,100,3,2,1.100 €,Piso
Camp d´en Grassot - Gràcia N.,101,2,2,1.490 €,Ático
St. Pere - Sta. Caterina - El Born,153,3,2,1.900 €,Piso
St. Pere - Sta. Caterina - El Born,40,,1,560 €,Loft
Sant Antoni,102,3,1,1.100 €,Piso
Gòtic,90,2,1,830 €,Piso
Sagrada Família,125,3,2,1.406 €,Piso
Pedralbes,180,3,2,2.200 €,Ático
Sagrada Família,115,3,2,1.350 €,Piso
Les Corts,120,2,1,1.200 €,Piso
Sant Gervasi - Galvany,184,4,4,4.900 €,Piso
Sagrada Família,45,,1,775 €,Piso
Sant Ramon - Maternitat,81,,1,1.150 €,Ático
La Bordeta,100,3,1,975 €,Piso
Les Corts,75,4,1,800 €,Piso
Camp d´en Grassot - Gràcia N.,65,3,1,800 €,Piso
Gòtic,128,3,2,1.100 €,Piso
Guinardó,70,3,1,900 €,Piso
Sagrada Família,65,2,1,850 €,Piso
Putget - Farró,149,,1,1.500 €,Loft
Dreta de l´Eixample,50,2,1,900 €,Piso
Sagrada Família,80,3,1,950 €,Piso
Sant Ramon - Maternitat,100,2,1,1.500 €,Piso
Esquerra Alta de l´Eixample,98,4,1,1.100 €,Piso
Gòtic,122,3,2,2.400 €,Piso
Raval,80,3,2,875 €,Piso
Sagrada Família,80,4,1,990 €,Piso
Sant Antoni,80,3,2,1.200 €,Piso
La Bordeta,150,4,2,2.100 €,Piso
La Sagrera,50,2,1,800 €,Piso
Esquerra Alta de l´Eixample,68,2,1,890 €,Piso
Dreta de l´Eixample,87,2,2,1.360 €,Piso
Esquerra Baixa de l´Eixample,120,4,2,1.400 €,Piso
