"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"613","Raval",63,2,2,890,"Piso","Ciutat Vella"
"614","Les Corts",110,3,2,1500,"Piso","Les Corts"
"616","Sant Gervasi - Galvany",180,5,3,3700,"Piso","Sarrià-Sant Gervasi"
"618","Sant Antoni",91,3,2,1275,"Piso","Eixample"
"619","Dreta de l´Eixample",90,2,2,1050,"Apartamento","Eixample"
"620","Dreta de l´Eixample",85,3,1,900,"Piso","Eixample"
"621","Putget - Farró",97,3,2,1550,"Piso","Sarrià-Sant Gervasi"
"622","Dreta de l´Eixample",123,3,2,1700,"Piso","Eixample"
"623","Esquerra Alta de l´Eixample",66,2,1,1000,"Piso","Eixample"
"624","Vila de Gràcia",65,2,1,930,"Piso","Gràcia"
"625","Camp d´en Grassot - Gràcia N.",85,2,1,1260,"Ático","Gràcia"
"627","Sants",65,3,1,880,"Piso","Sants-Montjuïc"
"628","Dreta de l´Eixample",340,6,3,2500,"Piso","Eixample"
"629","Gòtic",76,2,1,1200,"Piso","Ciutat Vella"
"630","Les Corts",55,2,1,720,"Piso","Les Corts"
"631","Sant Ramon - Maternitat",95,4,2,1200,"Piso","Les Corts"
"632","Les Corts",80,3,1,950,"Piso","Les Corts"
"634","Congrés - Indians",71,2,1,1050,"Piso","Sant Andreu"
"636","Camp d´en Grassot - Gràcia N.",90,3,1,995,"Piso","Gràcia"
"637","Sant Gervasi - Galvany",65,2,2,1410,"Piso","Sarrià-Sant Gervasi"
"638","Dreta de l´Eixample",310,6,4,4900,"Piso","Eixample"
"639","Camp d´en Grassot - Gràcia N.",70,2,1,1000,"Piso","Gràcia"
"640","Vila de Gràcia",80,3,1,950,"Piso","Gràcia"
"641","Dreta de l´Eixample",93,3,2,2550,"Apartamento","Eixample"
"643","Carmel",68,2,1,750,"Piso","Horta-Guinardó"
"644","La Sagrera",79,3,2,1350,"Ático","Sant Andreu"
"646","Sant Gervasi - Galvany",170,5,3,2300,"Piso","Sarrià-Sant Gervasi"
"652","Dreta de l´Eixample",137,4,1,1250,"Piso","Eixample"
"653","Les Corts",113,3,2,1675,"Piso","Les Corts"
"654","Gòtic",125,3,3,1600,"Piso","Ciutat Vella"
"655","Sant Gervasi - Galvany",108,2,2,1600,"Piso","Sarrià-Sant Gervasi"
"656","Dreta de l´Eixample",87,3,2,1800,"Piso","Eixample"
"657","Dreta de l´Eixample",94,3,2,1900,"Piso","Eixample"
"658","Vallcarca - Penitents",73,3,2,1200,"Piso","Gràcia"
"659","Sant Gervasi - Galvany",60,2,1,1100,"Piso","Sarrià-Sant Gervasi"
